,0,1,2,3,4,5,6,7,8,9,10,11,12,13
101,,adult,,,,,italian,fast food,hamburger,,,,,live
102,,adult,,pizza,,japanese,italian,fast food,,rock,,,,live
103,,adult,,pizza,fit,,italian,fast food,hamburger,rock,pop,country,no music,
104,,adult,,,,,,fast food,,rock,,country,no music,
105,,adult,,pizza,fit,,,fast food,,,pop,,no music,
106,,adult,,pizza,,japanese,italian,fast food,hamburger,,pop,,no music,live
107,,adult,,pizza,fit,japanese,italian,fast food,,,pop,country,no music,
108,,adult,,pizza,fit,japanese,italian,fast food,,rock,pop,,,
109,,adult,,pizza,fit,japanese,italian,fast food,hamburger,rock,,,no music,live
110,,adult,,pizza,,,,fast food,,rock,pop,country,no music,
111,,adult,,pizza,,japanese,,fast food,,rock,,country,no music,live
112,,adult,,pizza,,,,fast food,hamburger,rock,,country,no music,live
113,,adult,,,,japanese,,fast food,hamburger,rock,pop,,no music,live
114,,adult,,,,japanese,,fast food,,rock,pop,,,live
115,,adult,,,fit,,italian,fast food,hamburger,rock,pop,country,,live
116,,adult,,pizza,,,italian,fast food,hamburger,rock,,,,
117,,adult,,pizza,fit,,italian,fast food,,,pop,country,no music,
118,,adult,,pizza,fit,,italian,fast food,,,pop,,,
119,,adult,,pizza,fit,japanese,italian,fast food,,rock,,,,
120,,adult,,,fit,japanese,italian,fast food,hamburger,,,country,,
121,,adult,,pizza,,,,fast food,hamburger,rock,pop,,no music,live
122,,adult,,,fit,,,fast food,,rock,pop,,no music,
123,,adult,,pizza,fit,,,fast food,hamburger,rock,pop,country,no music,
124,,adult,,pizza,,japanese,italian,fast food,hamburger,rock,,,no music,
125,,adult,,,,japanese,italian,fast food,,,pop,,no music,live
126,,adult,,pizza,,japanese,italian,fast food,hamburger,rock,,country,,live
127,,adult,,,fit,japanese,,fast food,hamburger,rock,pop,,no music,live
128,,adult,,pizza,fit,japanese,italian,fast food,hamburger,,,country,no music,live
129,,adult,,,,,,fast food,,,pop,,,live
130,,adult,,,,,italian,fast food,hamburger,,pop,,,
131,,adult,,pizza,fit,,,fast food,,rock,pop,country,,live
132,,adult,,pizza,fit,japanese,italian,fast food,hamburger,,pop,,no music,
133,,adult,,,fit,,italian,fast food,hamburger,rock,,,no music,
134,,adult,,,fit,,,fast food,,,,,no music,
135,,adult,,pizza,fit,japanese,,fast food,,,,,no music,live
136,,adult,,,fit,japanese,,fast food,,,pop,,no music,
137,,adult,,pizza,fit,,,fast food,,,,country,,
138,,adult,,,,,,fast food,,rock,pop,,no music,live
139,,adult,,pizza,,,,fast food,,rock,,country,no music,live
140,,adult,,pizza,,japanese,,fast food,hamburger,rock,pop,,,
141,,adult,,pizza,,japanese,italian,fast food,,rock,pop,country,no music,live
142,,adult,,,fit,,,fast food,,rock,pop,country,no music,live
143,,adult,,,fit,japanese,,fast food,,rock,pop,,no music,live
144,,adult,,,,,,fast food,,,,,no music,live
145,,adult,,,,,italian,fast food,hamburger,rock,,country,no music,live
146,,adult,,pizza,fit,,,fast food,hamburger,rock,,country,,live
147,,adult,,,,,italian,fast food,,,pop,country,no music,live
148,,adult,,pizza,fit,,,fast food,hamburger,rock,,,no music,
149,,adult,,,,japanese,italian,fast food,,,pop,,no music,live
150,,adult,,pizza,,japanese,,fast food,,rock,pop,country,,live
151,,adult,,pizza,,japanese,,fast food,,rock,,country,no music,live
152,,adult,,,fit,japanese,italian,fast food,hamburger,rock,pop,,,
153,,adult,,pizza,fit,,,fast food,,,,country,no music,
154,,adult,,,,japanese,,fast food,,rock,pop,country,no music,
155,,adult,,pizza,fit,japanese,italian,fast food,hamburger,rock,,country,,live
156,,adult,,pizza,,japanese,italian,fast food,hamburger,rock,,,,live
157,,adult,,pizza,,,,fast food,,,,,,live
158,,adult,,,,japanese,italian,fast food,,rock,pop,,no music,live
159,,adult,,,fit,japanese,,fast food,hamburger,,pop,,,
160,,adult,,pizza,fit,japanese,,fast food,hamburger,rock,,,,
161,,adult,,pizza,fit,japanese,,fast food,hamburger,,,,no music,live
162,,adult,,,fit,,,fast food,hamburger,,pop,country,no music,live
163,,adult,,,,,,fast food,hamburger,rock,pop,country,no music,live
164,,adult,,pizza,,japanese,italian,fast food,hamburger,,,country,,
165,,adult,,pizza,fit,japanese,italian,fast food,hamburger,rock,pop,,no music,live
166,,adult,,pizza,fit,,italian,fast food,,,pop,country,,live
167,,adult,,pizza,,,italian,fast food,hamburger,,,country,,live
168,,adult,,,,japanese,italian,fast food,,rock,pop,,no music,live
169,,adult,,,fit,japanese,italian,fast food,hamburger,rock,,country,no music,live
170,,adult,,,fit,japanese,,fast food,,rock,,,,
171,,adult,,pizza,fit,japanese,,fast food,,rock,,,no music,
172,,adult,,,,,italian,fast food,,rock,,,no music,live
173,,adult,,,fit,japanese,,fast food,,rock,pop,country,,live
174,,adult,,,,japanese,italian,fast food,hamburger,rock,,,no music,
175,,adult,,pizza,fit,,italian,fast food,,,pop,country,no music,live
176,,adult,,pizza,,,,fast food,,,pop,,no music,live
177,,adult,,pizza,,japanese,italian,fast food,,rock,pop,,,
178,,adult,,pizza,fit,,italian,fast food,,rock,,country,,live
179,,adult,,,,japanese,,fast food,hamburger,,pop,,,live
180,,adult,,pizza,,,,fast food,hamburger,,,country,,live
181,,adult,,,,japanese,,fast food,,,,,,
182,,adult,,pizza,fit,japanese,italian,fast food,,rock,pop,country,,live
183,,adult,,pizza,fit,,,fast food,,rock,,,,live
184,,adult,,,fit,japanese,italian,fast food,hamburger,,,,,live
185,,adult,,pizza,fit,japanese,italian,fast food,hamburger,,pop,country,,
186,,adult,,,fit,japanese,,fast food,,,pop,country,,live
187,,adult,,,,,italian,fast food,,,,country,,
188,,adult,,pizza,fit,,italian,fast food,hamburger,,,,,
189,,adult,,,fit,japanese,italian,fast food,,rock,pop,,,live
190,,adult,,,fit,japanese,,fast food,hamburger,rock,pop,,no music,
