,0,1,2,3,4,5,6,7,8,9,10,11,12,13
213,,,elder,pizza,fit,japanese,italian,,hamburger,,,country,,
214,,,elder,,,japanese,italian,fast food,,,pop,,,
215,,,elder,,,japanese,italian,,,,,country,no music,
216,,,elder,,,japanese,,fast food,hamburger,,,,,
217,,,elder,pizza,fit,japanese,,fast food,,rock,,,no music,
218,,,elder,pizza,,japanese,,fast food,hamburger,,pop,,,live
219,,,elder,pizza,,japanese,italian,,,,pop,,no music,
220,,,elder,,,,,fast food,hamburger,rock,,country,,live
221,,,elder,pizza,,,,,,,,,,live
222,,,elder,pizza,,japanese,,fast food,,,pop,,no music,
223,,,elder,pizza,,,italian,fast food,hamburger,,,country,,
224,,,elder,pizza,,japanese,italian,,,rock,pop,country,,live
225,,,elder,pizza,,,italian,fast food,,rock,pop,,no music,
226,,,elder,pizza,fit,,,,hamburger,rock,pop,country,no music,
227,,,elder,,fit,,italian,,hamburger,,pop,,,live
228,,,elder,pizza,fit,,,,,rock,pop,country,,live
229,,,elder,pizza,,,,fast food,,,,country,,live
230,,,elder,,fit,,italian,,hamburger,,,country,no music,
231,,,elder,pizza,,,italian,fast food,,,,,no music,live
232,,,elder,,,,italian,,,,pop,country,no music,
233,,,elder,pizza,,japanese,,,,,,country,,
234,,,elder,,,,italian,fast food,hamburger,rock,,country,no music,
235,,,elder,,fit,,italian,,hamburger,,,,,
236,,,elder,,,,,fast food,,rock,pop,country,,
237,,,elder,pizza,fit,,italian,fast food,,,,country,no music,live
238,,,elder,,,,italian,fast food,,,,country,no music,live
239,,,elder,,,,,fast food,,rock,,country,,live
240,,,elder,pizza,,,,,,,,,,
241,,,elder,,,,italian,fast food,,rock,pop,,no music,
242,,,elder,pizza,fit,,,fast food,hamburger,,pop,country,,
243,,,elder,,,japanese,italian,,,,pop,,no music,
244,,,elder,pizza,fit,,italian,,,rock,,,,
245,,,elder,,fit,japanese,italian,fast food,hamburger,,pop,,no music,live
246,,,elder,,,japanese,,,hamburger,rock,,,no music,
247,,,elder,pizza,,,italian,,hamburger,,,,,live
248,,,elder,,fit,japanese,italian,fast food,,rock,,country,no music,live
249,,,elder,,,japanese,italian,fast food,hamburger,rock,,,,
250,,,elder,pizza,,japanese,,,hamburger,,pop,,no music,live
251,,,elder,,fit,,italian,,hamburger,,,country,,live
252,,,elder,,fit,japanese,,,hamburger,,pop,,,live
253,,,elder,pizza,,,italian,fast food,,rock,pop,country,no music,
254,,,elder,,,japanese,,fast food,hamburger,rock,pop,country,,
255,,,elder,pizza,,,italian,fast food,hamburger,,pop,,,live
256,,,elder,pizza,,japanese,italian,,hamburger,rock,pop,,,
257,,,elder,,fit,,,fast food,,rock,pop,,no music,
258,,,elder,,fit,,,,,,,country,,live
259,,,elder,,fit,japanese,,,,rock,pop,,no music,live
260,,,elder,pizza,,,,fast food,hamburger,,,country,no music,
261,,,elder,pizza,fit,,,fast food,,,pop,,,live
262,,,elder,pizza,fit,japanese,,fast food,hamburger,,pop,country,no music,
263,,,elder,,,,italian,fast food,,,,,,
264,,,elder,,,,italian,fast food,hamburger,rock,pop,,,
265,,,elder,,fit,japanese,italian,fast food,hamburger,rock,,country,,live
266,,,elder,pizza,,japanese,italian,,,rock,pop,,,
267,,,elder,pizza,fit,,,fast food,,rock,,country,,live
268,,,elder,,,japanese,italian,fast food,,rock,,,,
269,,,elder,,fit,,,fast food,hamburger,,,country,,
270,,,elder,pizza,,japanese,italian,,,rock,pop,,,
271,,,elder,pizza,fit,japanese,italian,,,rock,pop,,no music,
272,,,elder,pizza,,japanese,,fast food,,,,country,,live
273,,,elder,,fit,,italian,,,rock,pop,,no music,
274,,,elder,,,japanese,italian,fast food,hamburger,rock,pop,country,no music,
275,,,elder,,,japanese,,,,,pop,,no music,
276,,,elder,pizza,fit,japanese,,,hamburger,,pop,,no music,live
277,,,elder,,,,,fast food,,,,country,no music,live
278,,,elder,,,japanese,italian,fast food,hamburger,,pop,,no music,
279,,,elder,pizza,fit,,italian,,hamburger,rock,pop,,,
280,,,elder,pizza,,,italian,,,,,,,live
281,,,elder,pizza,,japanese,,,hamburger,,,,,
282,,,elder,pizza,,japanese,italian,fast food,,,,,,live
283,,,elder,,,,,,hamburger,rock,,,,
284,,,elder,pizza,fit,,italian,,hamburger,rock,,country,,live
285,,,elder,pizza,,,,fast food,,rock,pop,,no music,
286,,,elder,,fit,japanese,,fast food,hamburger,rock,,country,,
287,,,elder,pizza,fit,,italian,,,rock,,country,,
288,,,elder,,fit,japanese,italian,,hamburger,,,country,no music,live
289,,,elder,,fit,japanese,,,hamburger,rock,,,,
290,,,elder,,fit,,,,hamburger,,,,,
291,,,elder,,fit,japanese,italian,fast food,,rock,,country,,
292,,,elder,,fit,japanese,,fast food,,rock,,country,,
293,,,elder,,,,,fast food,,,pop,,,live
294,,,elder,,fit,,italian,fast food,,,,country,,
295,,,elder,pizza,fit,japanese,,,,,,country,no music,
296,,,elder,pizza,fit,japanese,,,,rock,,country,no music,
297,,,elder,,,,italian,,,rock,,,no music,live
298,,,elder,pizza,fit,japanese,,fast food,hamburger,rock,pop,,no music,live
299,,,elder,,,,italian,,hamburger,rock,,,no music,
300,,,elder,pizza,fit,japanese,italian,,,rock,pop,,no music,
301,,,elder,pizza,,,italian,fast food,,rock,,,,live
302,,,elder,pizza,,,,fast food,hamburger,,,country,no music,live
303,,,elder,,fit,japanese,,,,,,,no music,
304,,,elder,pizza,fit,,,fast food,,,pop,country,no music,
305,,,elder,,,,,,,,pop,country,,live
306,,,elder,,,,italian,,hamburger,rock,,,,live
307,,,elder,pizza,fit,,italian,,hamburger,,pop,country,no music,
308,,,elder,,fit,japanese,,,hamburger,,pop,country,no music,
309,,,elder,,fit,,italian,,hamburger,rock,pop,country,no music,live
310,,,elder,,fit,,italian,fast food,,,,country,no music,live
311,,,elder,pizza,fit,,,,,,pop,country,no music,live
312,,,elder,pizza,,,italian,fast food,,rock,,country,no music,live
313,,,elder,pizza,fit,,italian,,hamburger,rock,,country,no music,live
314,,,elder,pizza,fit,japanese,italian,fast food,,,,country,,
315,,,elder,,fit,,italian,fast food,,,pop,,,live
316,,,elder,pizza,,,italian,,hamburger,,pop,country,no music,
317,,,elder,pizza,fit,,,fast food,hamburger,,,country,,live
318,,,elder,pizza,fit,japanese,italian,,hamburger,rock,pop,country,,live
319,,,elder,,,,italian,,hamburger,rock,,,no music,
320,,,elder,,fit,japanese,italian,,hamburger,,pop,,,
321,,,elder,,,japanese,italian,,hamburger,,pop,country,,live
322,,,elder,,,japanese,italian,fast food,,rock,pop,,no music,
323,,,elder,,,,italian,fast food,,,,country,,live
324,,,elder,pizza,,,italian,,hamburger,,,,,
325,,,elder,pizza,fit,japanese,,fast food,,,,,no music,live
326,,,elder,pizza,,japanese,,,,rock,pop,country,no music,live
327,,,elder,pizza,,japanese,,fast food,hamburger,rock,pop,,,
328,,,elder,pizza,,,italian,,,,,country,no music,
